Time_h,Tech_rep,Bio_rep,Donor_OD,Recipient_OD,Transconjugant_OD
8.432432432,1,2,0.18458418,0.188642674,0.162663532
8.756756757,1,2,0.189538961,0.189836243,0.16421862
9.081081081,1,2,0.188474956,0.190726425,0.168194573
9.405405405,1,2,0.197076097,0.193185197,0.170790563
9.72972973,1,2,0.199641234,0.196300515,0.177691587
10.05405405,1,2,0.205806025,0.1986062,0.17777507
10.37837838,1,2,0.213227273,0.200190155,0.178723846
10.7027027,1,2,0.214681862,0.203230969,0.183569557
11.02702703,1,2,0.222729561,0.206121946,0.186791112
11.35135135,1,2,0.227298326,0.209919043,0.194287958
11.67567568,1,2,0.233907243,0.213652287,0.195117521
12,1,2,0.243679723,0.217128113,0.197828527
12.32432432,1,2,0.243498944,0.219749689,0.203285793
12.64864865,1,2,0.257856197,0.22385488,0.206431277
12.97297297,1,2,0.263811328,0.227297882,0.211389318
13.2972973,1,2,0.278939887,0.232377912,0.215971853
13.62162162,1,2,0.287952333,0.236986623,0.218550661
